Sample	command
brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_1.fq.gz --in2 brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_2.fq.gz --out1 brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_1.fq.gz --in2 brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_2.fq.gz --out1 brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_1.fq.gz --in2 brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_2.fq.gz --out1 brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_1.fq.gz --in2 brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_2.fq.gz --out1 brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_1.fq.gz --in2 brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_2.fq.gz --out1 brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_1.fq.gz --in2 brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_2.fq.gz --out1 brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_1.fq.gz --in2 brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_2.fq.gz --out1 brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_1.fq.gz --in2 muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_2.fq.gz --out1 muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_1.fq.gz --in2 muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_2.fq.gz --out1 muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_1	/home1/alanxu/fastp --in1 muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_1.fq.gz --in2 muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_2.fq.gz --out1 muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_1_trimmed.fq.gz --out2 muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
