Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5_1			39.77	0.970376	4853854101.0	39682868.0	0.615871	98.06109080729878	60.444024013741796
muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5	40.73	7263435.0							
muscle_8_CKDL190139953-1a-D711-AK1544_H3WF3BBXX_L5_1			40.7632	0.968376	4475097876.0	35665008.0	0.630283	98.44995392327877	55.282773931242005
muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5	40.56	9195169.0							
muscle_9_CKDL190139953-1a-D712-AK1544_H3WF3BBXX_L5_1			44.716699999999996	0.969006	5884724040.0	45337066.0	0.629992	98.47788174834358	46.64194756762571
spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7	71.15	13424695.0							
spleen_10_CKDL190139955-1a-D708-AK1545_H3WF3BBXX_L7_1			77.607	0.958439	5231306935.0	37737318.0	0.519566	98.93176510535095	21.826674434262248
spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7	71.32	15142080.0							
spleen_11_CKDL190139955-1a-D709-AK1545_H3WF3BBXX_L7_1			75.9365	0.958663	5901412158.0	42462364.0	0.515888	98.81373340412651	19.7910910997938
spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7	65.06	13910862.0							
spleen_12_CKDL190139955-1a-D710-AK1545_H3WF3BBXX_L7_1			44.4298	0.957585	5918497180.0	42765324.0	0.53646	98.7143707645358	20.53144792352611
spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7	71.76	12378108.0							
spleen_13_CKDL190139955-1a-D711-AK1545_H3WF3BBXX_L7_1			65.15520000000001	0.956523	4792831462.0	34500460.0	0.509583	98.86630799785672	19.423692189556913
spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7	68.97	12897545.0							
spleen_14_CKDL190139955-1a-D712-AK1545_H3WF3BBXX_L7_1			68.6893	0.957489	5212726101.0	37402606.0	0.521691	98.75855416566243	18.023590348909202
spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7	64.91	10559992.0							
spleen_15_CKDL190139955-1a-D708-AK1546_H3WF3BBXX_L7_1			70.4813	0.956243	4479916140.0	32537342.0	0.536882	98.75753838959007	22.043408788961273
spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7	64.38	10257904.0							
spleen_16_CKDL190139955-1a-D709-AK1546_H3WF3BBXX_L7_1			69.104	0.957687	4359113162.0	31865040.0	0.540688	98.72680534896915	23.818486542436393
spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7	62.2	17535188.0							
spleen_17_CKDL190139955-1a-D710-AK1546_H3WF3BBXX_L7_1			66.2613	0.959792	7636198450.0	56384712.0	0.549556	98.97457011974676	28.68270309225625
spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7	64.55	9595152.0							
spleen_18_CKDL190139955-1a-D711-AK1546_H3WF3BBXX_L7_1			75.3738	0.954971	4114105072.0	29727986.0	0.542552	98.6752850026906	18.598779755783866
spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7	65.44	15578294.0							
spleen_19_CKDL190139955-1a-D712-AK1546_H3WF3BBXX_L7_1			68.1232	0.968859	5737679260.0	47608402.0	0.536117	99.15551901981657	64.98521989583426
spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7	39.63	7863507.0							
spleen_1_CKDL190139955-1a-D708-AK1543_H3WF3BBXX_L7_1			59.3155	0.960274	5130059510.0	39680386.0	0.628353	98.79566566119152	38.47646415345686
spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7	65.17	10435252.0							
spleen_2_CKDL190139955-1a-D709-AK1543_H3WF3BBXX_L7_1			73.3378	0.958194	4314215167.0	32022276.0	0.545915	98.8187035882897	28.330302326709557
spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7	76.24	10034041.0							
spleen_3_CKDL190139955-1a-D710-AK1543_H3WF3BBXX_L7_1			68.2559	0.958417	3553458327.0	26320712.0	0.494577	98.75984701342843	27.506124670878208
spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7	52.67	9093074.0							
spleen_4_CKDL190139955-1a-D711-AK1543_H3WF3BBXX_L7_1			66.8139	0.959465	4578827084.0	34528736.0	0.592803	98.75525498436275	31.793978185758657
spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7	75.44	10277169.0							
spleen_5_CKDL190139955-1a-D712-AK1543_H3WF3BBXX_L7_1			75.58709999999999	0.957903	3668639441.0	27246930.0	0.503486	98.4969230432204	23.979158667032117
spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7	51.78	7806450.0							
spleen_6_CKDL190139955-1a-D708-AK1544_H3WF3BBXX_L7_1			81.06790000000001	0.958883	4084596223.0	30153426.0	0.586071	98.87451288931229	27.513466883687137
spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7	77.09	12111528.0							
spleen_7_CKDL190139955-1a-D709-AK1544_H3WF3BBXX_L7_1			67.8703	0.957706	4298794700.0	31420828.0	0.493254	98.68071568328784	22.035300509721772
spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7	53.98	10391142.0							
spleen_8_CKDL190139955-1a-D711-AK1544_H3WF3BBXX_L7_1			64.6632	0.957773	5368075313.0	38499550.0	0.579049	98.98458624859202	18.93987811641186
spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7	75.37	10195598.0							
spleen_9_CKDL190139955-1a-D712-AK1544_H3WF3BBXX_L7_1			64.0142	0.961858	3740575476.0	27054558.0	0.498265	99.01821950364692	24.521377890588695
